,る,羆璸计,羆璸辫Ω计,盽称瓁ㄆ癡絤计,盽称瓁ㄆ癡絤辫Ω计,干计,干辫Ω计,蠢计,蠢辫Ω计
110,1,1553,5,1153,3,313,1,87,1
110,2,901,4,811,3,90,1,0,0
110,3,576,5,370,2,84,1,122,2
110,4,374,6,188,3,81,1,105,2
110,5,240,3,198,1,41,1,1,1
110,6,0,0,0,0,0,0,0,0
110,7,0,0,0,0,0,0,0,0
110,8,700,8,441,5,162,1,97,2
110,9,1313,11,612,5,438,2,263,4
110,10,498,7,334,4,0,0,164,3
110,11,977,10,447,3,124,1,406,6
110,12,1340,10,1119,6,94,1,127,3
111,1,383,5,285,3,0,0,98,2
111,2,888,5,756,4,132,1,0,0
111,3,729,9,522,6,100,1,107,2
111,4,657,5,477,3,87,1,93,1
111,5,550,8,381,4,81,2,88,2
111,6,241,5,195,3,0,0,46,2
111,7,557,8,285,5,158,1,114,2
111,8,472,6,161,3,202,1,109,2
111,9,995,10,767,6,71,1,157,3
111,10,790,6,552,3,104,1,134,2
111,11,590,7,292,4,164,1,134,2
111,12,1325,9,948,6,240,1,137,2
112,1,270,1,270,1,0,0,0,0
112,2,965,8,804,5,74,1,87,2
112,3,881,8,691,5,91,1,99,2
112,4,855,8,683,6,109,1,63,1
112,5,403,7,259,4,52,1,92,2
112,6,914,7,657,5,226,1,31,1
112,7,440,7,261,5,96,1,83,1
112,8,599,7,376,3,112,1,111,3
112,9,1142,9,854,6,144,1,144,2
112,10,1394,6,1140,2,91,1,163,3
112,11,1050,8,768,5,127,1,155,2
112,12,1248,8,866,5,239,1,143,2
